series_id	state	area	year	period	month	value
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M11	November	28.84
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M10	October	29.76
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M09	September	29.98
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M08	August	29.76
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M07	July	28.64
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M06	June	29.00
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M05	May	28.65
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M04	April	28.02
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M03	March	28.54
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M02	February	27.00
SMU40461403000000008	Oklahoma	Tulsa, OK	2023	M01	January	27.90
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M12	December	28.15
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M11	November	27.36
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M10	October	26.03
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M09	September	25.23
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M08	August	23.76
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M07	July	23.61
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M06	June	22.83
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M05	May	22.25
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M04	April	21.56
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M03	March	22.54
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M02	February	22.11
SMU40461403000000008	Oklahoma	Tulsa, OK	2022	M01	January	22.57
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M12	December	22.88
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M11	November	22.62
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M10	October	23.12
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M09	September	23.39
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M08	August	23.01
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M07	July	23.23
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M06	June	23.77
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M05	May	24.41
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M04	April	23.84
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M03	March	23.81
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M02	February	23.88
SMU40461403000000008	Oklahoma	Tulsa, OK	2021	M01	January	23.61
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M12	December	23.63
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M11	November	24.01
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M10	October	23.85
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M09	September	24.29
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M08	August	23.58
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M07	July	22.92
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M06	June	22.52
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M05	May	22.59
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M04	April	22.79
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M03	March	22.87
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M02	February	23.07
SMU40461403000000008	Oklahoma	Tulsa, OK	2020	M01	January	23.57
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M12	December	23.54
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M11	November	23.27
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M10	October	22.89
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M09	September	22.65
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M08	August	22.70
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M07	July	22.15
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M06	June	22.41
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M05	May	21.99
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M04	April	21.87
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M03	March	21.87
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M02	February	21.87
SMU40461403000000008	Oklahoma	Tulsa, OK	2019	M01	January	21.37
SMU40461403000000008	Oklahoma	Tulsa, OK	2018	M12	December	21.79
